state,year,prcp-01,prcp-02,prcp-03,prcp-04,prcp-05,prcp-06,prcp-07,prcp-08,prcp-09,prcp-10,prcp-11,prcp-12,snow-01,snow-02,snow-03,snow-04,snow-05,snow-06,snow-07,snow-08,snow-09,snow-10,snow-11,snow-12,snwd-01,snwd-02,snwd-03,snwd-04,snwd-05,snwd-06,snwd-07,snwd-08,snwd-09,snwd-10,snwd-11,snwd-12,tmax-01,tmax-02,tmax-03,tmax-04,tmax-05,tmax-06,tmax-07,tmax-08,tmax-09,tmax-10,tmax-11,tmax-12,tmin-01,tmin-02,tmin-03,tmin-04,tmin-05,tmin-06,tmin-07,tmin-08,tmin-09,tmin-10,tmin-11,tmin-12
AB,2015,46.93103448275862,12.206896551724139,0.4,28.242424242424242,3.3225806451612905,7.448275862068965,85.21428571428571,10.428571428571429,19.103448275862068,5.133333333333334,5.59375,2.5806451612903225,49.827586206896555,14.068965517241379,3.966666666666667,25.96969696969697,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,3.0,2.5806451612903225,102.75862068965517,116.89655172413794,133.33333333333334,12.151515151515152,1.6451612903225807,0.0,0.0,0.0,0.0,0.0,13.75,76.45161290322581,-0.16206896551724134,-10.296551724137931,5.636666666666667,5.263636363636364,16.025806451612905,21.36896551724138,27.432142857142857,25.974999999999998,18.50689655172414,21.013333333333332,2.95625,2.167741935483871,-9.03103448275862,-22.25862068965517,-9.863333333333333,-1.687878787878788,-0.8419354838709678,7.13448275862069,14.064285714285715,11.396428571428572,6.9655172413793105,2.996666666666667,-3.925,-14.306451612903226
AB,2016,1.6666666666666667,2.1379310344827585,4.5,2.142857142857143,12.08,2.72,40.63636363636363,14.363636363636363,18.38095238095238,78.08333333333333,0.6956521739130435,2.260869565217391,1.6666666666666667,2.206896551724138,3.8,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0.2608695652173913,2.6956521739130435,93.0,75.17241379310344,73.33333333333333,16.071428571428573,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,7.826086956521739,19.130434782608695,-0.9166666666666666,-2.572413793103448,5.806666666666667,16.91785714285714,24.555999999999997,21.744,23.113636363636363,23.568181818181817,22.571428571428573,10.7125,3.026086956521739,-2.9130434782608696,-13.916666666666666,-9.46551724137931,-7.966666666666667,-1.4535714285714287,2.52,6.98,10.409090909090908,8.75,8.333333333333334,4.241666666666666,-3.6478260869565218,-9.982608695652173
AK,2015,64.33980582524272,1.3398058252427185,21.563106796116504,22.91919191919192,25.044444444444444,7.044444444444444,44.505376344086024,17.56989247311828,29.102040816326532,25.010204081632654,12.428571428571429,56.20792079207921,12.766990291262136,5.12621359223301,19.184466019417474,2.0707070707070705,0.03333333333333333,0.2777777777777778,0.0,0.0,3.857142857142857,3.4081632653061225,5.551020408163265,7.00990099009901,156.1359223300971,214.74757281553397,189.6893203883495,163.27272727272728,29.61111111111111,0.0,0.0,0.0,4.663265306122449,54.57142857142857,111.04081632653062,177.6138613861386,0.15242718446601944,-8.4252427184466,2.287378640776699,5.096969696969698,10.641111111111112,18.144444444444446,18.058064516129033,19.059139784946236,12.09591836734694,5.788775510204081,-8.491836734693878,-4.138613861386139,-6.2932038834951465,-16.639805825242718,-4.687378640776699,-4.123232323232323,0.22333333333333336,5.732222222222222,9.343010752688171,8.759139784946237,2.6234693877551023,-2.0112244897959184,-14.841836734693878,-9.620792079207922
AK,2016,66.60606060606061,8.351063829787234,6.282828282828283,18.38235294117647,65.79611650485437,29.095238095238095,50.47115384615385,9.594059405940595,45.28712871287129,13.22,34.38,50.62765957446808,4.0606060606060606,5.680851063829787,2.8686868686868685,3.372549019607843,0.04854368932038835,0.047619047619047616,0.0,0.0,0.0,0.0,0.92,23.72340425531915,216.74747474747474,224.60638297872342,214.24242424242425,160.86274509803923,10.825242718446601,0.0,0.0,0.0,0.0,0.0,25.97,94.44680851063829,2.3282828282828283,-4.202127659574468,1.6030303030303032,8.952941176470588,11.062135922330098,17.36952380952381,20.24903846153846,17.68712871287129,16.71089108910891,11.657,-0.249,-8.330851063829787,-4.818181818181818,-11.962765957446809,-8.295959595959596,-1.3098039215686275,2.107766990291262,6.056190476190476,10.481730769230769,9.529702970297029,4.9485148514851485,0.262,-5.9670000000000005,-15.788297872340424
AL,2015,7.392857142857143,67.48387096774194,115.1304347826087,34.111111111111114,0.0,129.33333333333334,26.0,33.888888888888886,0.0,3.1,74.46153846153847,230.85185185185185,0.0,6.161290322580645,5.260869565217392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.290322580645162,4.391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.589285714285714,13.080645161290322,12.63478260869565,27.433333333333334,27.155555555555555,27.466666666666665,32.34444444444445,34.56666666666667,30.55,20.96,21.707692307692305,19.022222222222222,-0.7928571428571428,2.416129032258065,0.2521739130434784,12.833333333333334,10.622222222222222,18.822222222222223,22.27777777777778,19.866666666666667,17.23,16.18,10.561538461538463,12.348148148148148
AL,2016,1.4666666666666666,10.25,63.22727272727273,214.63636363636363,54.583333333333336,59.083333333333336,30.307692307692307,18.384615384615383,11.25,0.0,0.0,101.20588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.276666666666667,20.592857142857145,16.163636363636364,22.327272727272728,26.25833333333333,33.61666666666667,33.03076923076923,34.43846153846154,33.88333333333333,27.569230769230767,25.7,17.188235294117646,1.6266666666666667,12.442857142857141,4.086363636363637,13.736363636363636,13.15,19.008333333333333,20.73076923076923,22.26153846153846,22.066666666666666,10.676923076923078,1.0833333333333333,1.7176470588235293
AR,2015,31.12087912087912,76.85567010309278,148.37,27.02127659574468,51.95505617977528,30.197802197802197,0.25555555555555554,0.0,0.6555555555555556,0.0,101.18367346938776,36.4040404040404,0.14285714285714285,0.6494845360824743,33.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7731958762886598,47.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3945054945054944,10.579381443298969,5.361000000000001,26.51063829787234,26.469662921348316,23.364835164835164,32.727777777777774,33.825274725274724,30.273333333333333,25.59157894736842,17.849999999999998,10.62828282828283,-1.9813186813186814,0.8649484536082475,-6.49,12.924468085106383,12.530337078651685,16.372527472527473,22.102222222222224,19.035164835164835,18.033333333333335,12.177894736842106,8.85204081632653,4.148484848484848
AR,2016,0.030927835051546393,7.424242424242424,35.714285714285715,17.5979381443299,14.372340425531915,25.621052631578948,25.164948453608247,25.244897959183675,21.221052631578946,0.0,4.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.188659793814432,20.86060606060606,17.76734693877551,23.976288659793813,25.243617021276595,27.977894736842106,32.365979381443296,32.94795918367347,32.490526315789474,25.537755102040816,22.907526881720432,13.282608695652174,-1.205154639175258,6.650505050505051,4.0285714285714285,7.911340206185566,11.072340425531914,18.72736842105263,21.125773195876288,22.20612244897959,20.949473684210528,11.36530612244898,6.866666666666667,-1.3978260869565218
AZ,2015,39.25333333333333,7.945945945945946,22.31081081081081,0.0,2.5526315789473686,0.06329113924050633,16.4025974025974,19.55128205128205,14.078947368421053,0.0,62.10126582278481,0.0,55.733333333333334,0.6891891891891891,9.797297297297296,0.0,0.4342105263157895,0.0,0.0,0.0,0.0,0.0,11.417721518987342,0.0,87.36,16.81081081081081,38.08108108108108,7.453333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.708860759493671,2.311688311688312,2.8386666666666667,13.502702702702702,14.197297297297297,25.56,26.28684210526316,33.50126582278481,32.38831168831169,31.71153846153846,31.468421052631577,32.32533333333333,14.550632911392405,10.885714285714286,-7.18,1.5310810810810813,-0.5783783783783785,8.184,7.332894736842104,14.008860759493672,16.65324675324675,18.265384615384615,16.185526315789474,13.396,1.3101265822784811,-6.488311688311689
AZ,2016,0.1111111111111111,75.93150684931507,0.0,0.4230769230769231,26.523809523809526,0.0,16.646341463414632,56.654761904761905,13.227272727272727,10.174418604651162,35.358695652173914,0.0,0.6388888888888888,50.52054794520548,0.0,0.038461538461538464,2.488095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.375,94.24657534246575,38.80555555555556,30.28205128205128,2.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,9.5,8.483333333333333,11.08904109589041,23.618055555555557,17.956410256410255,20.848809523809525,32.360240963855425,34.19878048780488,33.589285714285715,31.979545454545452,28.020930232558143,20.46195652173913,10.795454545454545,-5.823611111111111,-3.3753424657534246,3.0152777777777775,1.0666666666666664,7.008333333333334,13.67590361445783,17.959756097560977,19.75,16.125,12.79767441860465,7.548913043478261,-4.213636363636364
