state,year,month,TMAX,TMIN,PRCP,SNOW,SNWD
AB,2015,1,1.0,-8.0,0,0,0
AB,2015,3,9.5,-1.5,0,30,110
AB,2015,4,3.0,0.0,30,30,0
AB,2015,6,24.5,0.0,0,0,0
AB,2015,7,26.1,12.0,0,0,0
AB,2015,7,30.5,14.3,16,0,0
AB,2015,7,30.5,17.0,26,0,0
AB,2015,7,22.0,9.0,0,0,0
AB,2015,8,23.0,14.5,0,0,0
AB,2015,9,23.0,8.0,114,0,0
AB,2015,9,15.0,5.0,0,0,0
AB,2015,10,23.0,3.5,0,0,0
AB,2015,11,3.0,-4.0,0,0,0
AB,2015,12,4.0,-15.0,0,0,140
AB,2015,12,-2.5,-18.0,0,0,0
AB,2016,1,-0.5,-25.0,0,0,0
AB,2016,1,-3.0,-8.0,50,50,0
AB,2016,2,1.0,-8.0,0,0,0
AB,2016,3,15.0,-3.0,0,0,0
AB,2016,5,27.0,3.0,0,0,0
AB,2016,7,24.5,6.0,0,0,0
AB,2016,8,25.5,7.0,0,0,0
AB,2016,9,17.0,8.0,24,0,0
AB,2016,9,21.5,11.0,0,0,0
AB,2016,10,8.0,6.0,110,0,0
AB,2016,11,6.0,-2.0,0,0,0
AK,2015,1,-2.1,-9.3,0,0,50
AK,2015,1,4.4,1.1,3,0,0
AK,2015,1,-6.1,-18.3,25,97,381
AK,2015,2,6.1,-6.6,0,0,0
AK,2015,3,5.6,1.7000000000000002,91,0,0
AK,2015,3,9.4,4.4,0,0,0
AK,2015,3,2.8,0.6000000000000001,13,3,0
AK,2015,3,4.4,0.0,15,0,533
AK,2015,3,-9.4,-26.7,0,0,356
AK,2015,4,7.2,2.8,25,0,0
AK,2015,4,3.9,-3.9,0,0,635
AK,2015,4,1.7000000000000002,-6.7,0,0,457
AK,2015,4,10.0,-9.4,0,0,330
AK,2015,5,16.7,7.2,0,0,0
AK,2015,5,10.0,1.1,0,0,0
AK,2015,6,21.7,11.7,13,0,0
AK,2015,7,17.2,8.9,330,0,0
AK,2015,7,22.2,10.0,0,0,0
AK,2015,7,12.2,7.8,20,0,0
AK,2015,8,25.6,12.2,0,0,0
AK,2015,8,19.4,7.2,3,0,0
AK,2015,8,12.8,11.1,152,0,0
AK,2015,8,15.6,10.6,8,0,0
AK,2015,9,16.1,6.1,0,0,0
AK,2015,9,10.6,7.2,0,0,0
AK,2015,9,17.2,-3.3,3,0,0
AK,2015,9,12.8,1.1,0,0,0
AK,2015,10,9.4,-0.6000000000000001,0,0,0
AK,2015,10,11.7,5.0,0,0,0
AK,2015,11,-0.6000000000000001,-5.6,0,0,0
AK,2015,11,-8.8,-29.9,30,3,410
AK,2015,12,6.1,-3.8,69,0,0
AK,2015,12,-13.3,-24.4,0,0,330
AK,2015,12,-13.9,-21.1,0,20,406
AK,2016,1,6.1,2.8,99,0,0
AK,2016,1,4.4,-1.7000000000000002,23,3,0
AK,2016,2,-8.3,-23.9,0,0,178
AK,2016,2,-6.1,-11.1,0,0,25
AK,2016,3,-8.2,-14.3,0,0,330
AK,2016,3,-2.2,-17.8,0,0,432
AK,2016,3,-13.9,-15.6,0,0,229
AK,2016,4,3.9,-2.8,0,0,102
AK,2016,4,0.6000000000000001,-8.9,0,0,0
AK,2016,4,3.3,-2.8,0,0,152
AK,2016,4,12.8,4.4,0,0,0
AK,2016,4,15.0,0.0,0,0,127
AK,2016,4,7.8,4.4,38,0,0
AK,2016,5,15.0,-0.5,0,0,0
AK,2016,5,8.3,5.6,155,0,0
AK,2016,5,14.4,1.1,5,0,0
AK,2016,5,9.4,0.6000000000000001,0,0,0
AK,2016,5,16.1,2.2,8,0,0
AK,2016,5,17.8,-1.7000000000000002,0,0,0
AK,2016,5,10.0,1.7000000000000002,0,0,0
AK,2016,5,8.3,2.8,0,0,0
AK,2016,5,10.6,5.6,323,0,0
AK,2016,6,14.4,7.8,0,0,0
AK,2016,6,18.3,6.7,0,0,0
AK,2016,6,12.2,9.4,51,0,0
AK,2016,6,23.3,3.9,0,0,0
AK,2016,7,23.9,12.2,76,0,0
AK,2016,7,23.9,9.4,0,0,0
AK,2016,7,22.8,11.7,41,0,0
AK,2016,7,19.4,10.0,0,0,0
AK,2016,8,11.7,3.3,0,0,0
AK,2016,8,17.2,12.8,0,0,0
AK,2016,8,16.1,12.2,0,0,0
AK,2016,8,21.7,13.3,3,0,0
AK,2016,8,15.6,11.7,0,0,0
AK,2016,8,19.4,7.2,0,0,0
AK,2016,8,15.0,12.2,0,0,0
AK,2016,8,23.9,5.0,0,0,0
AK,2016,10,10.6,-3.9,0,0,0
AK,2016,10,12.8,-1.1,0,0,0
AK,2016,11,-23.3,-16.1,0,0,51
AK,2016,11,7.8,0.6000000000000001,0,0,0
AK,2016,11,-2.8,-5.0,0,0,25
AK,2016,12,-17.2,-28.9,0,0,152
AK,2016,12,-20.0,-27.2,5,30,127
AK,2016,12,5.0,1.1,224,0,0
AK,2016,12,-12.2,-36.7,0,0,51
AK,2016,12,-6.1,-13.9,0,0,203
AK,2016,12,-6.7,-21.1,8,25,25
AL,2015,4,27.8,13.3,91,0,0
AL,2015,9,23.3,17.2,0,0,0
AL,2015,12,17.8,11.1,424,0,0
AL,2016,2,21.7,17.8,18,0,0
AL,2016,4,26.1,15.6,226,0,0
AL,2016,6,32.8,18.9,46,0,0
AL,2016,9,33.9,22.2,0,0,0
AL,2016,10,25.6,9.4,0,0,0
AR,2015,1,6.1,-1.7000000000000002,0,0,0
AR,2015,2,11.7,2.2,33,0,0
AR,2015,2,6.7,-3.3,97,0,0
AR,2015,2,12.8,-5.6,84,0,0
AR,2015,2,7.8,-8.3,0,0,0
AR,2015,2,12.8,-1.7000000000000002,36,0,0
AR,2015,4,26.7,15.6,0,0,0
AR,2015,4,27.8,11.1,145,0,0
AR,2015,4,22.8,12.2,340,0,0
AR,2015,5,24.4,18.3,0,0,0
AR,2015,5,23.9,3.9,119,0,0
AR,2015,5,26.1,17.2,0,0,0
AR,2015,6,25.0,14.4,0,0,0
AR,2015,6,26.7,17.2,0,0,0
AR,2015,7,28.9,21.7,0,0,0
AR,2015,7,31.7,23.3,0,0,0
AR,2015,7,30.0,20.0,0,0,0
AR,2015,7,32.2,21.7,0,0,0
AR,2015,7,33.3,22.2,0,0,0
AR,2015,7,34.4,24.4,0,0,0
AR,2015,7,34.4,22.8,0,0,0
AR,2015,8,36.1,18.3,0,0,0
AR,2015,8,35.0,18.9,0,0,0
AR,2015,8,29.4,17.8,0,0,0
AR,2015,8,33.9,17.2,0,0,0
AR,2015,9,28.3,17.2,0,0,0
AR,2015,9,23.9,20.0,0,0,0
AR,2015,9,32.8,20.6,0,0,0
AR,2015,9,33.9,21.1,0,0,0
AR,2015,10,21.7,12.2,0,0,0
AR,2015,10,26.1,13.3,0,0,0
AR,2015,10,29.4,11.1,0,0,0
AR,2015,11,17.8,8.9,0,0,0
AR,2015,12,8.9,0.6000000000000001,0,0,0
AR,2015,12,8.3,-1.1,5,0,0
AR,2016,1,7.2,2.2,0,0,0
AR,2016,1,6.1,0.0,0,0,0
AR,2016,1,8.3,1.7000000000000002,0,0,0
AR,2016,2,24.4,8.3,0,0,0
AR,2016,2,18.9,4.4,0,0,0
AR,2016,2,22.2,9.4,53,0,0
AR,2016,3,18.9,7.2,13,0,0
AR,2016,3,17.2,11.7,0,0,0
AR,2016,4,27.8,12.2,0,0,0
AR,2016,4,21.7,8.9,23,0,0
AR,2016,6,30.0,18.9,0,0,0
AR,2016,6,31.7,17.8,25,0,0
AR,2016,7,33.9,21.1,0,0,0
AR,2016,7,32.2,21.1,0,0,0
AR,2016,8,31.1,23.3,0,0,0
AR,2016,9,30.6,21.1,28,0,0
AR,2016,9,33.9,22.2,0,0,0
AR,2016,11,18.9,15.0,0,0,0
AR,2016,11,30.0,-5.6,0,0,0
AR,2016,11,31.1,13.9,0,0,0
AR,2016,12,14.4,1.1,0,0,0
AR,2016,12,10.0,0.6000000000000001,0,0,0
AR,2016,12,13.3,1.7000000000000002,0,0,0
AZ,2015,1,0.6000000000000001,-10.5,5,0,0
AZ,2015,1,8.3,-3.8,3,0,0
AZ,2015,2,16.7,-0.6000000000000001,0,0,0
AZ,2015,2,20.6,8.3,0,0,0
AZ,2015,3,23.3,7.2,0,0,0
AZ,2015,4,25.6,4.4,0,0,0
AZ,2015,4,29.4,18.3,0,0,0
AZ,2015,4,28.9,12.8,0,0,0
AZ,2015,5,7.2,3.9,51,0,0
AZ,2015,6,34.4,12.2,0,0,0
AZ,2015,6,32.2,12.2,0,0,0
AZ,2015,6,27.8,11.1,0,0,0
AZ,2015,6,31.1,10.0,0,0,0
AZ,2015,7,27.8,16.1,43,0,0
AZ,2015,8,26.7,13.3,25,0,0
AZ,2015,8,23.3,15.0,15,0,0
AZ,2015,8,26.7,14.4,145,0,0
AZ,2015,9,30.6,12.8,0,0,0
AZ,2015,9,25.6,5.6,0,0,0
AZ,2015,9,32.8,18.3,0,0,0
AZ,2015,10,26.7,9.4,0,0,0
AZ,2015,11,13.9,-5.0,0,0,25
AZ,2015,11,12.2,2.8,41,38,51
AZ,2015,12,6.7,-10.6,0,0,0
AZ,2015,12,18.9,-1.7000000000000002,0,0,0
AZ,2016,2,7.8,-5.6,91,51,25
AZ,2016,2,6.1,-8.9,175,191,178
AZ,2016,3,28.3,10.6,0,0,0
AZ,2016,3,17.8,-2.2,0,0,0
AZ,2016,4,15.6,-0.6000000000000001,5,0,0
AZ,2016,4,12.8,-3.9,0,0,0
AZ,2016,4,12.2,-6.7,0,0,0
AZ,2016,4,17.2,-0.5,0,0,0
AZ,2016,5,16.7,5.0,94,0,0
AZ,2016,5,19.4,11.1,0,0,0
AZ,2016,6,37.8,22.8,0,0,0
AZ,2016,6,36.7,20.0,0,0,0
AZ,2016,8,38.3,13.3,0,0,0
AZ,2016,8,36.7,26.7,0,0,0
AZ,2016,8,29.4,12.8,279,0,0
AZ,2016,9,27.2,14.4,0,0,0
AZ,2016,9,25.0,10.6,0,0,0
AZ,2016,10,36.1,22.8,0,0,0
AZ,2016,10,23.9,7.2,0,0,0
AZ,2016,10,16.7,1.1,160,0,0
AZ,2016,11,21.7,6.7,0,0,0
AZ,2016,11,18.9,6.1,0,0,0
AZ,2016,12,11.1,-3.2,0,0,0
BC,2015,1,2.5,-2.5,76,0,0
BC,2015,1,4.7,-4.4,18,0,0
BC,2015,1,4.0,-1.5,0,0,0
BC,2015,1,4.0,-4.5,174,0,0
BC,2015,1,0.5,-5.5,10,10,0
BC,2015,1,-3.0,-12.5,12,2,100
BC,2015,2,8.5,3.0,28,0,0
BC,2015,2,1.0,-3.0,48,48,160
BC,2015,2,0.0,-0.5,70,70,40
BC,2015,2,-4.1,-5.3,26,46,190
BC,2015,2,6.3,4.2,124,0,0
